Taxon,habitat
Medicago sativa,ruderal
Odontites vernus subsp. serotinus,ruderal
Verbascum speciosum,ruderal
Vicia villosa,ruderal
Galeopsis angustifolia,ruderal
Ononis spinosa,ruderal
Potentilla incana,ruderal
Sedum sexangulare,ruderal
Sanguisorba minor,ruderal
Barbarea vulgaris,ruderal
Galium album,ruderal
Equisetum x moorei,ruderal
Leonurus marrubiastrum,ruderal
Sambucus nigra,ruderal
Glechoma hederacea,ruderal
Poa trivialis,ruderal
Festuca ovina,ruderal
Melica transsilvanica,ruderal
Onobrychis arenaria,ruderal
Chondrilla juncea,ruderal
Achillea collina,ruderal
Hylotelephium maximum,ruderal
Festuca pratensis,ruderal
Lamium maculatum,ruderal
Anthriscus caucalis,ruderal
Anthriscus cerefolium var. trichocarpus,ruderal
Asperugo procumbens,ruderal
Bryonia alba,ruderal
Cruciata laevipes,ruderal
Geranium lucidum,ruderal
Geranium pyrenaicum,ruderal
Myosotis sparsiflora,ruderal
Stellaria pallida,ruderal
Physalis alkekengi,ruderal
Veronica sublobata,ruderal
Poa nemoralis,ruderal
Centaurea triumfetti,ruderal
Erysimum odoratum,ruderal
Lactuca quercina,ruderal
Viola hirta,ruderal
Crataegus monogyna,ruderal
Euphorbia cyparissias,ruderal
Salvia pratensis,ruderal
Symphytum tuberosum,ruderal
Geum aleppicum,ruderal
Ajuga reptans,ruderal
Athyrium filix-femina,ruderal
Digitalis grandiflora,ruderal
Dryopteris filix-mas,ruderal
Euphorbia amygdaloides,ruderal
Fagus sylvatica,ruderal
Asarum europaeum,ruderal
Dentaria bulbifera,ruderal
Mercurialis perennis,ruderal
Pulmonaria obscura,ruderal
Vicia dumetorum,ruderal
Chrysosplenium alternifolium,ruderal
Deschampsia cespitosa,ruderal
Myosotis nemorosa,ruderal
Fraxinus angustifolia subsp. danubialis,ruderal
Prunella vulgaris,ruderal
Festuca arundinacea,ruderal
Geranium pratense,ruderal
Poa pratensis,ruderal
Orobanche flava,ruderal
Carex pilosa,ruderal
Scrophularia nodosa,ruderal
Galium verum,ruderal
Salvia verticillata,ruderal
Silene vulgaris,ruderal
Geranium phaeum,ruderal
Alchemilla crinita,ruderal
Epilobium alpestre,ruderal
